Traditional	Simplified	Pinyin	English	Zhuyin	Level
分寸	分寸	fēncun	propriety, appropriate behavior, proper speech or action, within the norms		7-9
分擔	分担	fēndān	to share (a burden, a cost, a responsibility)		7-9
分割	分割	fēngē	to cut up, to break up		7-9
分紅	分红	fēnhóng	dividend, to award a bonus		7-9
分化	分化	fēnhuà	to split apart, differentiation		7-9
分泌	分泌	fēnmì	to secrete, secretion		7-9
分明	分明	fēnmíng	clear, distinct, evidently, clearly		7-9
分歧	分歧	fēnqí	divergent, difference (of opinion, position); disagreement, (math.) bifurcation		7-9
分贓	分赃	fēnzāng	to share the booty; to divide ill-gotten gains		7-9
分支	分支	fēnzhī	branch (of company, river etc), to branch, to diverge, to ramify, to subdivide		7-9
芬芳	芬芳	fēnfāng	perfume, fragrant		7-9
吩咐	吩咐	fēnfù	to tell; to instruct; to command		7-9
氛圍	氛围	fēnwéi	ambience; atmosphere		7-9
墳	坟	fén	grave, tomb, CL:座[zuo4], embankment, mound, ancient book		7-9
墳墓	坟墓	fénmù	grave, tomb		7-9
焚燒	焚烧	fénshāo	to burn, to set on fire		7-9
粉	粉	fěn	powder, cosmetic face powder, food prepared from starch; noodles or pasta made from any kind of flour, to turn to powder, (dialect) to whitewash, white, pink, (suffix) fan (abbr. for 粉絲|粉丝[fen3 si1]), to be a fan of		7-9
粉絲	粉丝	fěnsī	"bean vermicelli; mung bean starch noodles; cellophane noodles, fan; enthusiast for sb or sth (loanword from ""fans"")"		7-9
粉碎	粉碎	fěnsuì	to crush; to smash; to shatter		7-9
分量	分量	fènliàng	(vector) component; (food) portion size; quantity; weight; measure, (fig.) weight (importance, prestige, authority etc); (of written material) density		7-9
分外	分外	fènwài	exceptionally, not one's responsibility or job		7-9
份額	份额	fèn'é	share, portion		7-9
奮力	奋力	fènlì	to do everything one can, to spare no effort, to strive		7-9
奮勇	奋勇	fènyǒng	dauntless, to summon up courage and determination, using extreme force of will		7-9
糞	粪	fèn	manure, dung		7-9
糞便	粪便	fènbiàn	excrement, feces, night soil		7-9
豐富多彩	丰富多彩	fēngfù-duōcǎi	richly colorful		7-9
豐厚	丰厚	fēnghòu	generous; ample		7-9
豐滿	丰满	fēngmǎn	Fengman district of Jilin city 吉林市, Jilin province; ample, well developed, fully rounded		7-9
豐盛	丰盛	fēngshèng	rich, sumptuous		7-9
豐碩	丰硕	fēngshuò	plentiful; substantial; rich (in resources etc)		7-9
風波	风波	fēngbō	disturbance, crisis, disputes, restlessness, CL:場|场[chang2]		7-9
風采	风采	fēngcǎi	svelte, elegant manner, graceful bearing		7-9
風餐露宿	风餐露宿	fēngcān-lùsù	lit. to eat in the open air and sleep outdoors (idiom), fig. to rough it		7-9
風範	风范	fēngfàn	air, manner, model, paragon, demeanor		7-9
風風雨雨	风风雨雨	fēngfēngyǔyǔ	trials and tribulations, ups and downs		7-9
風和日麗	风和日丽	fēnghé-rìlì	moderate wind, beautiful sun (idiom); fine sunny weather, esp. in springtime		7-9
風浪	风浪	fēnglàng	wind and waves; rough waters, (fig.) hardship		7-9
風力	风力	fēnglì	wind force, wind power		7-9
風流	风流	fēngliú	distinguished and accomplished, outstanding, talented in letters and unconventional in lifestyle, romantic, dissolute, loose		7-9
風貌	风貌	fēngmào	style, manner, ethos		7-9
風氣	风气	fēngqì	general mood, atmosphere, common practice		7-9
風情	风情	fēngqíng	mien, bearing, grace, amorous feelings, flirtatious expressions, local conditions and customs, wind force, direction etc		7-9
風趣	风趣	fēngqù	charm, humor, wit, humorous, witty		7-9
風沙	风沙	fēngshā	sand blown by wind, sandstorm		7-9
風尚	风尚	fēngshàng	current custom, current way of doing things		7-9
風水	风水	fēngshuǐ	feng shui, geomancy		7-9
風味	风味	fēngwèi	distinctive flavor, distinctive style		7-9
風雨	风雨	fēngyǔ	wind and rain, the elements, (fig.) trials and hardships		7-9
風雲	风云	fēngyún	weather, unstable situation		7-9
風箏	风筝	fēngzheng	kite (Etymology: Kites with bamboo whistles attached produced musical sounds when flown.)		7-9
封頂	封顶	fēngdǐng	to put a roof (on a building), to cap the roof (finishing a building project), fig. to put a ceiling (on spending, prize, ambition etc), to top off, fig. to reach the highest point (of growth, profit, interest rates), to stop growing (of plant bud or branch)		7-9
封建	封建	fēngjiàn	system of enfeoffment, feudalism, feudal, feudalistic		7-9
封面	封面	fēngmiàn	cover (of a publication)		7-9
封鎖	封锁	fēngsuǒ	to blockade, to seal off, to lock down		7-9
瘋子	疯子	fēngzi	madman, lunatic		7-9
峰回路轉	峰回路转	fēnghuí-lùzhuǎn	the mountain road twists around each new peak (idiom), (of a mountain road) twisting and turning, fig. an opportunity has come unexpectedly, things have taken a new turn		7-9
蜂蜜	蜂蜜	fēngmì	honey		7-9
逢	逢	féng	to meet by chance, to come across, (of a calendar event) to come along, (of an event) to fall on (a particular day), to fawn upon		7-9
縫	缝	féng	to sew, to stitch; seam, crack, narrow slit, CL:道[dao4]		7-9
縫合	缝合	fénghé	to sew together, suture (in surgery), to sew up (a wound)		7-9
諷刺	讽刺	fěngcì	to satirize, to mock, irony, satire, sarcasm		7-9
鳳凰	凤凰	fènghuáng	Fenghuang County in Xiangxi Tujia and Miao Autonomous Prefecture 湘西土家族苗族自治州[Xiang1 xi1 Tu3 jia1 zu2 Miao2 zu2 Zi4 zhi4 zhou1]; phoenix		7-9
縫	缝	fèng	to sew, to stitch; seam, crack, narrow slit, CL:道[dao4]		7-9
否決	否决	fǒujué	to veto, to overrule		7-9
孵化	孵化	fūhuà	breeding, to incubate, innovation (esp. in commerce and marketing)		7-9
敷	敷	fū	to spread, to lay out, to apply (powder, ointment etc), sufficient (to cover), enough		7-9
扶持	扶持	fúchí	to help, to assist		7-9
服飾	服饰	fúshì	apparel, clothing and personal adornment		7-9
服務器	服务器	fúwùqì	server (computer), CL:臺|台[tai2]		7-9
服用	服用	fúyòng	to take (medicine)		7-9
俘獲	俘获	fúhuò	to capture (enemy property or personnel), capture (physics: absorption of subatomic particle by an atom or nucleus)		7-9
俘虜	俘虏	fúlǔ	captive		7-9
浮力	浮力	fúlì	buoyancy		7-9
浮現	浮现	fúxiàn	(of a thought or image) to come to mind, (of a smile etc) to appear (on sb's face), (of a problem etc) to emerge		7-9
浮躁	浮躁	fúzào	fickle and impatient, restless, giddy, scatterbrained		7-9
輻射	辐射	fúshè	radiation		7-9
福氣	福气	fúqi	good fortune, a blessing		7-9
撫摸	抚摸	fǔmō	to gently caress and stroke, to pet, to fondle		7-9
撫卹	抚恤	fǔxù	(of an organization that has a duty of care) to give financial support to relatives of sb who has died or suffered serious injury		7-9
撫養	抚养	fǔyǎng	to foster, to bring up, to raise		7-9
撫養費	抚养费	fǔyǎngfèi	child support payment (after a divorce)		7-9
斧子	斧子	fǔzi	axe, hatchet, CL:把[ba3]		7-9
俯首	俯首	fǔshǒu	to bend one's head		7-9
輔導	辅导	fǔdǎo	to give guidance, to mentor, to counsel, to coach, to tutor		7-9
腐敗	腐败	fǔbài	corruption, to corrupt, to rot, rotten		7-9
腐化	腐化	fǔhuà	to rot, to decay, to become corrupt		7-9
腐爛	腐烂	fǔlàn	to rot, to putrefy, (fig.) corrupt		7-9
腐蝕	腐蚀	fǔshí	corrosion, to corrode (degrade chemically), to rot, corruption		7-9
腐朽	腐朽	fǔxiǔ	rotten, decayed, decadent, degenerate		7-9
付費	付费	fùfèi	to pay, to cover the costs		7-9
付款	付款	fùkuǎn	to pay a sum of money, payment		7-9
負面	负面	fùmiàn	negative, the negative side		7-9
負有	负有	fùyǒu	to be responsible for		7-9
附	附	fù	variant of 附[fu4]; to add; to attach, to be close to; to be attached		7-9
附帶	附带	fùdài	supplementary, incidentally, in parentheses, by chance, in passing, additionally, secondary, subsidiary, to attach		7-9
附和	附和	fùhè	to agree, to go along with, to echo (what sb says)		7-9
附加	附加	fùjiā	additional, annex		7-9
附屬	附属	fùshǔ	subsidiary, auxiliary, attached, affiliated, subordinate, subordinating		7-9
赴	赴	fù	to go, to visit (e.g. another country), to attend (a banquet etc)		7-9
復查	复查	fùchá	to check again; to re-examine		7-9
復發	复发	fùfā	to recur (of a disease), to reappear, to relapse (into a former bad state)		7-9
復合|複合	复合	fùhé	(of people who were estranged) to be reconciled, (of a couple) to get back together; complex, compound, composite, hybrid, to compound, to combine		7-9
復活	复活	fùhuó	to revive, (lit. and fig.) to come back to life, (religion) resurrection		7-9
復興	复兴	fùxīng	Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei, Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan; to revive, to rejuvenate		7-9
復原	复原	fùyuán	to restore (sth) to (its) former condition, to recover from illness, recovery		7-9
副作用	副作用	fùzuòyòng	side effect		7-9
賦予	赋予	fùyǔ	to assign, to entrust (a task), to give, to bestow		7-9
富含	富含	fùhán	to contain in great quantities, rich in		7-9
富豪	富豪	fùháo	rich and powerful person		7-9
富強	富强	fùqiáng	rich and powerful		7-9
富翁	富翁	fùwēng	rich person, millionaire, billionaire		7-9
富裕	富裕	fùyù	Fuyu county in Qiqihar 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang; prosperous; well-to-do; well-off		7-9
富足	富足	fùzú	rich, plentiful		7-9
腹部	腹部	fùbù	abdomen, belly, flank		7-9
腹瀉	腹泻	fùxiè	diarrhea, to have the runs		7-9
覆蓋	覆盖	fùgài	to cover		7-9
該	该	gāi	should, ought to, probably, must be, to deserve, to owe, to be sb's turn to do sth, that, the above-mentioned		7-9
改版	改版	gǎibǎn	to revise the current edition, revised edition		7-9
改編	改编	gǎibiān	to adapt, to rearrange, to revise		7-9
改動	改动	gǎidòng	to alter, to modify, to revise		7-9
改革開放	改革开放	gǎigé kāifàng	to reform and open to the outside world, refers to Deng Xiaoping's policies from around 1980		7-9
改良	改良	gǎiliáng	to improve (sth), to reform (a system)		7-9
改名	改名	gǎimíng	to rename		7-9
改日	改日	gǎirì	another day, some other day		7-9
改為	改为	gǎiwéi	to change into		7-9
改邪歸正	改邪归正	gǎixié-guīzhèng	to mend one's ways (idiom), to turn over a new leaf		7-9
鈣	钙	gài	calcium (chemistry)		7-9
蓋子	盖子	gàizi	cover, lid, shell		7-9
概況	概况	gàikuàng	general situation, summary		7-9
概率	概率	gàilǜ	probability (math.)		7-9
概論	概论	gàilùn	outline, introduction, survey, general discussion		7-9
干戈	干戈	gāngē	weapons of war, arms		7-9
乾旱	干旱	gānhàn	drought, arid, dry		7-9
乾燥	干燥	gānzào	(of weather, climate, soil etc) dry; arid, (of skin, mouth etc) dry, (fig.) dull; dry; boring, (of timber etc) to dry out; to season; to cure		7-9
甘心	甘心	gānxīn	to be willing to, to resign oneself to		7-9
肝臟	肝脏	gānzàng	liver		7-9
尷尬	尴尬	gāngà	awkward; embarrassed		7-9
趕赴	赶赴	gǎnfù	to hurry, to rush		7-9
趕往	赶往	gǎnwǎng	to hurry to (somewhere)		7-9
敢情	敢情	gǎnqing	actually, as it turns out, indeed, of course		7-9
感（責任感）	感（责任感）	gǎn (zérèngǎn)			7-9
感觸	感触	gǎnchù	one's thoughts and feelings, emotional stirring, moved, touched		7-9
感恩	感恩	gǎn'ēn	to be grateful		7-9
感激	感激	gǎnjī	to be grateful, to appreciate, thankful		7-9
感慨	感慨	gǎnkǎi	to sigh with sorrow, regret etc, rueful, deeply moved		7-9
感染	感染	gǎnrǎn	to infect; infection, (fig.) to influence		7-9
感染力	感染力	gǎnrǎnlì	infectiousness (of a disease), appeal; power; impact (of an image, marketing message, performance etc)		7-9
感嘆	感叹	gǎntàn	to sigh (with feeling), to lament		7-9
感性	感性	gǎnxìng	perception, perceptual, sensibility, sensitive, emotional, sentimental		7-9
幹部	干部	gànbù	cadre, official, officer, manager		7-9
幹事	干事	gànshi	administrator, executive secretary		7-9
剛毅	刚毅	gāngyì	resolute, steadfast, stalwart		7-9
綱領	纲领	gānglǐng	program (i.e. plan of action), guiding principle		7-9
綱要	纲要	gāngyào	outline, essential points		7-9
鋼	钢	gāng	steel		7-9
缸	缸	gāng	jar, vat, classifier for loads of laundry, CL:口[kou3]		7-9
港	港	gǎng	Hong Kong (abbr. for 香港[Xiang1 gang3]), surname Gang; harbor, port, CL:個|个[ge4]		7-9
槓鈴	杠铃	gànglíng	barbell		7-9
高昂	高昂	gāo'áng	to hold (one's head) high, expensive, high (spirits etc)		7-9
高傲	高傲	gāo'ào	arrogant, haughty, proud		7-9
高超	高超	gāochāo	excellent, superlative		7-9
高低	高低	gāodī	height; level; (music) pitch, relative superiority, propriety; discretion (usu. in the negative, e.g. 不知高低[bu4 zhi1 gao1 di1]), no matter what; just; simply (will not ..., must ... etc), at long last		7-9
高調	高调	gāodiào	high-sounding speech, bombast, high-profile		7-9
高額	高额	gāo'é	high quota, large amount		7-9
高爾夫球	高尔夫球	gāo'ěrfūqiú	golf, golf ball		7-9
高峰期	高峰期	gāofēngqī	peak period, rush hour		7-9
高貴	高贵	gāoguì	grandeur, noble		7-9
高空	高空	gāokōng	high altitude		7-9
高齡	高龄	gāolíng	elderly		7-9
高明	高明	gāomíng	see 高明區|高明区[Gao1 ming2 Qu1]; brilliant; superior; wise		7-9
高山	高山	gāoshān	high mountain; alpine mountain		7-9
高效	高效	gāoxiào	efficient, highly effective		7-9
高新技術	高新技术	gāoxīn-jìshù	high tech, high technology		7-9
高血壓	高血压	gāoxuèyā	high blood pressure, hypertension		7-9
高壓	高压	gāoyā	(physics) high pressure, (meteorology) high atmospheric pressure, high voltage, systolic blood pressure, high-handed; oppressive		7-9
高雅	高雅	gāoyǎ	dainty, elegance, elegant		7-9
高漲	高涨	gāozhǎng	to surge up, to rise, (of tensions etc) to run high		7-9
搞鬼	搞鬼	gǎoguǐ	to make mischief, to play tricks		7-9
搞笑	搞笑	gǎoxiào	to get people to laugh, funny, hilarious		7-9
告	告	gào	(bound form) to say; to tell, to announce; to report, to denounce, to file a lawsuit; to sue		7-9
告辭	告辞	gàocí	to say goodbye, to take one's leave		7-9
告誡	告诫	gàojiè	to warn, to admonish		7-9
告示	告示	gàoshi	announcement		7-9
告知	告知	gàozhī	to inform		7-9
告狀	告状	gàozhuàng	to tell on sb; to complain (to a teacher, a superior etc), to bring a lawsuit		7-9
戈壁	戈壁	gēbì	Gobi (desert)		7-9
胳膊	胳膊	gēbo	arm, CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]		7-9
鴿子	鸽子	gēzi	pigeon, dove, various birds of the family Columbidae		7-9
擱	搁	gē	to place, to put aside, to shelve; to bear; to stand; to endure, Taiwan pr. [ge1]		7-9
擱淺	搁浅	gēqiǎn	to be stranded (of ship), to run aground, fig. to run into difficulties and stop		7-9
擱置	搁置	gēzhì	to shelve, to set aside		7-9
割	割	gē	to cut, to cut apart		7-9
歌劇	歌剧	gējù	Western opera, CL:場|场[chang3],齣|出[chu1]		7-9
歌頌	歌颂	gēsòng	to sing the praises of, to extol, to eulogize		7-9
歌舞	歌舞	gēwǔ	singing and dancing		7-9
歌詠	歌咏	gēyǒng	to sing		7-9
革命	革命	gémìng	to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning), revolution, revolutionary, to revolt (against sb or sth), to revolutionize (sth), (separable verb sometimes used in the pattern 革noun的命), CL:次[ci4]		7-9
格	格	gé	used in 格登[ge1 deng1], used in 格格[ge1 ge1]; square, frame, rule, (legal) case, style, character, standard, pattern, (grammar) case, (classical) to obstruct, to hinder, (classical) to arrive, to come, (classical) to investigate, to study exhaustively		7-9
格格不入	格格不入	gégé-bùrù	(idiom) inharmonious, incompatible		7-9
格局	格局	géjú	structure, pattern, layout		7-9
格式	格式	géshi	form, specification, format		7-9
隔閡	隔阂	géhé	misunderstanding, estrangement, (language etc) barrier		7-9
隔離	隔离	gélí	to separate, to isolate		7-9
個案	个案	gè'àn	individual case; special case		7-9
個頭兒	个头儿	gètóur	size, height, stature		7-9
各奔前程	各奔前程	gèbènqiánchéng	each goes his own way (idiom); each person has his own life to lead		7-9
各式各樣	各式各样	gèshì-gèyàng	(of) all kinds and sorts, various		7-9
根基	根基	gēnjī	foundation		7-9
根深蒂固	根深蒂固	gēnshēn-dìgù	deep-rooted (problem etc)		7-9
根源	根源	gēnyuán	origin, root (cause)		7-9
根治	根治	gēnzhì	to bring under permanent control, to effect a radical cure		7-9
跟不上	跟不上	gēn bu shàng	not able to keep up with		7-9
跟上	跟上	gēnshang	to catch up with, to keep pace with		7-9
跟蹤	跟踪	gēnzōng	to follow sb's tracks, to tail, to shadow, tracking		7-9
更改	更改	gēnggǎi	to alter		7-9
更衣室	更衣室	gēngyīshì	change room; dressing room; locker room, (euphemism) toilet		7-9
耕地	耕地	gēngdì	arable land, to plow land		7-9
耿直	耿直	gěngzhí	honest; frank; candid		7-9
工地	工地	gōngdì	construction site		7-9
工會	工会	gōnghuì	labor union, trade union, CL:個|个[ge4]		7-9
工科	工科	gōngkē	engineering as an academic subject		7-9
工商界	工商界	gōngshāngjiè	industry, the world of business		7-9
工序	工序	gōngxù	working procedure, process		7-9
工整	工整	gōngzhěng	fine work, carefully and neatly done		7-9
工作量	工作量	gōngzuòliàng	workload; volume of work		7-9
弓	弓	gōng	surname Gong; a bow (weapon), CL:張|张[zhang1], to bend, to arch (one's back etc)		7-9
公安局	公安局	gōng'ānjú	public security bureau (government office similar in function to a police station)		7-9
公車	公车	gōngchē	bus, abbr. for 公共汽車|公共汽车[gong1 gong4 qi4 che1], car belonging to an organization and used by its members (government car, police car, company car etc), abbr. for 公務用車|公务用车[gong1 wu4 yong4 che1]		7-9
公道	公道	gōngdao	justice, fairness, public highway; fair, equitable		7-9
公費	公费	gōngfèi	at public expense		7-9
公共場所	公共场所	gōnggòng chǎngsuǒ	public place		7-9
公關	公关	gōngguān	public relations		7-9
公函	公函	gōnghán	official letter		7-9
公積金	公积金	gōngjījīn	official reserves, accumulated fund		7-9
公開信	公开信	gōngkāixìn	open letter		7-9
公款	公款	gōngkuǎn	public money		7-9
公立	公立	gōnglì	public (e.g. school, hospital)		7-9
公墓	公墓	gōngmù	public cemetery		7-9
公僕	公仆	gōngpú	public servant, CL:個|个[ge4],位[wei4]		7-9
公頃	公顷	gōngqǐng	hectare		7-9
公然	公然	gōngrán	openly, publicly, undisguised		7-9
公示	公示	gōngshì	to make known to the public (for information or to seek comments), public notification		7-9
公事	公事	gōngshì	work-related matters, documents		7-9
公務	公务	gōngwù	official business		7-9
公益	公益	gōngyì	public good; public welfare; public interest		7-9
公益性	公益性	gōngyìxìng			7-9
公用	公用	gōngyòng	public, for public use		7-9
公寓	公寓	gōngyù	apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4])		7-9
公約	公约	gōngyuē	convention (i.e. international agreement)		7-9
公證	公证	gōngzhèng	notarization, notarized, acknowledgement		7-9
公職	公职	gōngzhí	civil service, public office, government job		7-9
功	功	gōng	meritorious deed or service, achievement, result, service, accomplishment, work (physics)		7-9
功臣	功臣	gōngchén	meritorious official, person who renders exceptional service; hero, (fig.) sth that plays a vital role		7-9
功底	功底	gōngdǐ	training in the basic skills, knowledge of the fundamentals		7-9
功勞	功劳	gōngláo	contribution, meritorious service, credit		7-9
功力	功力	gōnglì	merit, efficacy, competence, skill, power		7-9
功率	功率	gōnglǜ	rate of work, power (output)		7-9
功效	功效	gōngxiào	efficacy		7-9
攻	攻	gōng	to attack, to accuse, to study, (LGBT) top		7-9
攻讀	攻读	gōngdú	to major (in a field), to study a specialty to obtain a higher degree		7-9
攻關	攻关	gōngguān	to storm a strategic pass, fig. to tackle a key problem		7-9
供	供	gōng	to provide; to supply, to be for (the use or convenience of); to lay (sacrificial offerings), (bound form) offerings, to confess (Taiwan pr. [gong1]), confession; statement (Taiwan pr. [gong1])		7-9
供不應求	供不应求	gōngbùyìngqiú	supply does not meet demand		7-9
供暖	供暖	gōngnuǎn	to supply heating (in a building), heating		7-9
供求	供求	gōngqiú	supply and demand (economics)		7-9
宮殿	宫殿	gōngdiàn	palace, CL:座[zuo4]		7-9
宮廷	宫廷	gōngtíng	court (of king or emperor)		7-9
恭維	恭维	gōngwéi	to praise, to speak highly of, compliment, praise		7-9
恭喜	恭喜	gōngxǐ	to congratulate, (interj.) congratulations!		7-9
拱	拱	gǒng	to cup one's hands in salute, to surround, to arch, to dig earth with the snout, arched		7-9
共鳴	共鸣	gòngmíng	(physics) to resonate; resonance, sympathetic response		7-9
共識	共识	gòngshí	common understanding, consensus		7-9
共同體	共同体	gòngtóngtǐ	community		7-9
共性	共性	gòngxìng	overall character		7-9
供奉	供奉	gòngfèng	to consecrate, to enshrine and worship, an offering (to one's ancestors), a sacrifice (to a god)		7-9
勾	勾	gōu	surname Gou; to attract, to arouse, to tick, to strike out, to delineate, to collude, variant of 鉤|钩[gou1], hook; used in 勾當|勾当[gou4 dang4]		7-9
勾畫	勾画	gōuhuà	to sketch out, to delineate		7-9
勾結	勾结	gōujié	to collude with, to collaborate with, to gang up with		7-9
鉤	钩	gōu	variant of 鉤|钩[gou1]; to hook, to sew, to crochet, hook, check mark or tick, window catch		7-9
鉤子	钩子	gōuzi	hook		7-9
構思	构思	gòusī	to design, to plot, to plan out, to compose, to draw a mental sketch, conception, plan, idea, composition		7-9
構想	构想	gòuxiǎng	to conceive, concept		7-9
購	购	gòu	to buy, to purchase		7-9
夠嗆	够呛	gòuqiàng	unbearable, terrible, enough, unlikely		7-9
估算	估算	gūsuàn	assessment, evaluation		7-9
沽名釣譽	沽名钓誉	gūmíng-diàoyù	to angle for fame (idiom), to fish for compliments		7-9
孤單	孤单	gūdān	lone, lonely, loneliness		7-9
孤立	孤立	gūlì	to isolate, isolated, unrelated; irrelevant		7-9
孤零零	孤零零	gūlínglíng	lone, isolated and without help, all alone, solitary		7-9
孤陋寡聞	孤陋寡闻	gūlòu-guǎwén	ignorant and inexperienced, ill-informed and narrow-minded		7-9
辜負	辜负	gūfù	to fail to live up (to expectations), unworthy (of trust), to let down, to betray (hopes), to disappoint		7-9
古董	古董	gǔdǒng	curio, antique		7-9
古怪	古怪	gǔguài	strange, weird, eccentric, bizarre		7-9
古蹟	古迹	gǔjì	places of historic interest, historical sites, CL:個|个[ge4]		7-9
古今中外	古今中外	gǔjīn-zhōngwài	at all times and in all places (idiom)		7-9
古樸	古朴	gǔpǔ	simple and unadorned (of art, architecture etc)		7-9
古人	古人	gǔrén	people of ancient times, the ancients, extinct human species such as Homo erectus or Homo neanderthalensis, (literary) deceased person		7-9
股份	股份	gǔfèn	a share (in a company), stock		7-9
股民	股民	gǔmín	stock investor, share trader		7-9
股市	股市	gǔshì	stock market		7-9
骨幹	骨干	gǔgàn	diaphysis (long segment of a bone), fig. backbone		7-9
骨氣	骨气	gǔqì	unyielding character, courageous spirit, integrity, moral backbone		7-9
骨折	骨折	gǔzhé	to suffer a fracture, (of a bone) to break, fracture		7-9
鼓動	鼓动	gǔdòng	to urge (an activity that may be beneficial, harmful or neutral); to encourage; to agitate; to instigate; to incite, to beat; to flap (wings, a fan etc)		7-9
鼓舞	鼓舞	gǔwǔ	to inspire; to encourage; to hearten; to boost (morale)		7-9
固然	固然	gùrán	admittedly (it's true that...)		7-9
固執	固执	gùzhi	obstinate, stubborn, to fixate on, to cling to		7-9
故	故	gù	happening, instance, reason, cause, intentional, former, old, friend, therefore, hence, (of people) to die, dead		7-9
顧不得	顾不得	gùbu dé	unable to change sth, unable to deal with		7-9
顧不上	顾不上	gùbushàng	cannot attend to or manage		7-9
顧及	顾及	gùjí	to take into consideration, to attend to		7-9
顧慮	顾虑	gùlǜ	misgivings; apprehensions, to worry about; to be concerned about		7-9
顧全大局	顾全大局	gùquán-dàjú	to take the big picture into consideration (idiom), to work for the benefits of all		7-9
雇	雇	gù	variant of 雇[gu4]; to employ, to hire, to rent		7-9
雇傭	雇佣	gùyōng	to employ; to hire; to employ; to hire		7-9
雇員	雇员	gùyuán	employee		7-9
雇主	雇主	gùzhǔ	variant of 雇主[gu4 zhu3]; employer		7-9
瓜分	瓜分	guāfēn	to partition, to divide up		7-9
瓜子	瓜子	guāzǐ	melon seed, seeds of pumpkin, watermelon or sunflower etc, roasted and flavored, consumed as a snack		7-9
颳風	刮风	guā fēng	to be windy		7-9
寡婦	寡妇	guǎfu	widow		7-9
掛鉤	挂钩	guàgōu	to couple; to link; to hook together, (fig.) (preceded by 與|与[yu3] + {entity}) to establish contact (with {entity}); (Tw) to collude (with {entity}), (fig.) to link (marketing efforts with production etc); to peg (welfare payments to inflation etc); to tie (remuneration to performance etc), hook (on which to hang sth); latch hook; coupling		7-9
掛號	挂号	guàhào	to register (at a hospital etc), to send by registered mail		7-9
掛念	挂念	guàniàn	to feel anxious about; to have (sth) weighing on one's mind		7-9
掛失	挂失	guàshī	to report the loss of something		7-9
乖	乖	guāi	(of a child) obedient, well-behaved, clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal		7-9
乖巧	乖巧	guāiqiǎo	clever (child), smart, lovable, cute		7-9
拐彎	拐弯	guǎiwān	to go round a curve, to turn a corner, fig. a new direction		7-9
拐杖	拐杖	guǎizhàng	crutches, crutch, walking stick		7-9
怪不得	怪不得	guàibude	no wonder!, so that's why!		7-9
怪物	怪物	guàiwu	monster, freak, eccentric person		7-9
怪異	怪异	guàiyì	monstrous, strange, strange phenomenon		7-9
關掉	关掉	guāndiào	to switch off; to shut off		7-9
關節	关节	guānjié	joint (physiology), key point, critical phase		7-9
關稅	关税	guānshuì	customs duty, tariff		7-9
關頭	关头	guāntóu	juncture, moment		7-9
關照	关照	guānzhào	to take care, to keep an eye on, to look after, to tell, to remind		7-9
觀測	观测	guāncè	to observe, to survey, observation (scientific etc)		7-9
觀感	观感	guāngǎn	one's impressions, observations		7-9
觀摩	观摩	guānmó	to observe and emulate, to study (esp. following sb's example)		7-9
觀賞	观赏	guānshǎng	to look at sth with pleasure; to watch (sth marvelous), ornamental		7-9
觀望	观望	guānwàng	to wait and see; to watch from the sidelines, to look around; to survey		7-9
官兵	官兵	guānbīng	(military) officers and soldiers, officers and men, (old) government troops		7-9
官吏	官吏	guānlì	bureaucrat, official		7-9
官僚	官僚	guānliáo	bureaucrat, bureaucracy, bureaucratic		7-9
官僚主義	官僚主义	guānliáo zhǔyì	bureaucracy		7-9
官員	官员	guānyuán	official (in an organization or government), administrator		7-9
棺材	棺材	guāncai	coffin, CL:具[ju4],口[kou3]		7-9
管家	管家	guǎnjiā	(old) butler; steward, manager; administrator; housekeeper, to manage a household		7-9
管教	管教	guǎnjiào	to discipline, to teach, to guarantee		7-9
管理費	管理费	guǎnlǐfèi	management fee		7-9
管轄	管辖	guǎnxiá	to administer, to have jurisdiction (over)		7-9
管用	管用	guǎnyòng	efficacious, useful		7-9
管子	管子	guǎnzi	Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period, Guanzi, classical book containing writings of Guan Zhong and his school; tube, pipe, drinking straw, CL:根[gen1]		7-9
貫徹	贯彻	guànchè	to implement, to put into practice, to carry out		7-9
貫穿	贯穿	guànchuān	to run through, a connecting thread from beginning to end, to link		7-9
貫通	贯通	guàntōng	to link up, to thread together		7-9
慣	惯	guàn	accustomed to, used to, indulge, to spoil (a child)		7-9
慣例	惯例	guànlì	convention, usual practice		7-9
慣性	惯性	guànxìng	(physics) inertia, (fig.) force of habit, tendency to do things in the accustomed way, habitual		7-9
灌	灌	guàn	to irrigate, to pour, to install (software), to record (music)		7-9
灌溉	灌溉	guàngài	to irrigate		7-9
灌輸	灌输	guànshū	to imbue with, to inculcate, to instill into, to teach, to impart, to channel water to another place		7-9
罐	罐	guàn	can, jar, pot; variant of 罐[guan4]		7-9
罐頭	罐头	guàntou	tin, can, CL:個|个[ge4]		7-9
